park_name,hr_factor,hit_factor
Coors Field,1.25,1.15
Yankee Stadium,1.15,1.05
Fenway Park,1.10,1.08
Dodger Stadium,0.95,0.97
Wrigley Field,1.05,1.00
Minute Maid Park,1.10,1.02
Globe Life Field,1.00,1.00
Truist Park,1.05,1.03
Citi Field,0.95,0.96
Petco Park,0.90,0.94
T-Mobile Park,0.92,0.95
loanDepot Park,0.90,0.93
Kauffman Stadium,0.95,1.02
Busch Stadium,0.94,0.98
Nationals Park,1.00,1.00
Guaranteed Rate Field,1.10,1.03
Rogers Centre,1.08,1.02
Oriole Park at Camden Yards,0.98,1.01
Oracle Park,0.85,0.92
Progressive Field,1.02,1.00
American Family Field,1.10,1.02
PNC Park,0.92,0.95
Target Field,0.98,0.99
Angel Stadium,0.95,0.97
Chase Field,1.10,1.04
Great American Ball Park,1.20,1.05
Comerica Park,0.90,0.96
Oakland Coliseum,0.88,0.94
Tropicana Field,0.90,0.95
